Ponto,Amostra,SSID1,RSSI1,SSID2,RSSI2,SSID3,RSSI3,SSID4,RSSI4,SSID5,RSSI5,SSID6,RSSI6,SSID7,RSSI7,SSID8,RSSI8,SSID9,RSSI9,SSID10,RSSI10
RP1,94,eduroam,-70,wifi-zone-ufam-1,-70,dlink-9A00,-71,VISITANTE_CETELI,-74,CETELI_WIFI,-76,CETELI_TREINAMENTOS,-76,CETELI_P&D,-76,BRITO_AP,-89,,,,,
RP1,95,CETELI_P&D,-68,CETELI_WIFI,-68,VISITANTE_CETELI,-69,CETELI_TREINAMENTOS,-69,wifi-zone-ufam-1,-69,eduroam,-69,dlink-9A00,-74,lpmc_ft,-86,Lab-Materiais,-87,IoT-zone-ufam,-88
RP1,96,dlink-9A00,-70,eduroam,-71,wifi-zone-ufam-1,-71,CETELI_WIFI,-74,CETELI_TREINAMENTOS,-74,CETELI_P&D,-74,VISITANTE_CETELI,-75,lpmc_ft,-86,IoT-zone-ufam,-88,LAB_LME_2G,-88
RP1,97,eduroam,-67,wifi-zone-ufam-1,-67,CETELI_TREINAMENTOS,-67,CETELI_WIFI,-68,CETELI_P&D,-68,VISITANTE_CETELI,-70,dlink-9A00,-75,lpmc_ft,-79,TPV,-83,Lab-Materiais,-84
RP1,98,CETELI_WIFI,-66,eduroam,-67,wifi-zone-ufam-1,-67,VISITANTE_CETELI,-67,CETELI_TREINAMENTOS,-67,CETELI_P&D,-67,dlink-9A00,-70,lpmc_ft,-82,BRITO_AP,-87,IoT-zone-ufam,-87
RP1,99,CETELI_P&D,-66,eduroam,-67,wifi-zone-ufam-1,-67,VISITANTE_CETELI,-67,CETELI_WIFI,-68,CETELI_TREINAMENTOS,-69,dlink-9A00,-73,lpmc_ft,-78,BRITO_AP,-87,IoT-zone-ufam,-88
RP1,100,VISITANTE_CETELI,-65,CETELI_WIFI,-65,CETELI_P&D,-65,CETELI_TREINAMENTOS,-66,eduroam,-68,wifi-zone-ufam-1,-68,dlink-9A00,-75,lpmc_ft,-82,Lab-Materiais,-83,TPV,-85
RP1,101,eduroam,-69,wifi-zone-ufam-1,-69,CETELI_WIFI,-71,VISITANTE_CETELI,-72,CETELI_TREINAMENTOS,-72,CETELI_P&D,-73,dlink-9A00,-76,lpmc_ft,-79,TPV,-81,Lab-Materiais,-85
RP1,102,wifi-zone-ufam-1,-67,eduroam,-67,CETELI_WIFI,-68,VISITANTE_CETELI,-68,CETELI_P&D,-68,CETELI_TREINAMENTOS,-69,dlink-9A00,-78,Lab-Materiais,-83,lpmc_ft,-83,IoT-zone-ufam,-86
RP1,103,eduroam,-70,wifi-zone-ufam-1,-70,CETELI_WIFI,-70,CETELI_TREINAMENTOS,-70,CETELI_P&D,-70,VISITANTE_CETELI,-73,dlink-9A00,-73,LAB_LME_2G,-83,BRITO_AP,-86,IoT-zone-ufam,-87
