rp,CETELI_WIFI,CETELI_TREINAMENTOS,CETELI_P&D,VISITANTE_CETELI,eduroam,wifi-zone-ufam-1,dlink-9A00,TPV,BRITO_AP,S80
2,-57.0,-57.0,-57.0,-60.0,-71.0,-70.0,-59.0,-74.0,-100.0,-100.0
2,-57.0,-57.0,-58.0,-58.0,-71.0,-71.0,-66.0,-73.0,-100.0,-85.0
2,-58.0,-58.0,-58.0,-58.0,-71.0,-71.0,-66.0,-73.0,-85.0,-83.0
2,-58.0,-57.0,-56.0,-57.0,-71.0,-71.0,-100.0,-74.0,-86.0,-100.0
2,-58.0,-57.0,-58.0,-58.0,-71.0,-72.0,-67.0,-100.0,-100.0,-84.0
2,-57.0,-58.0,-58.0,-58.0,-71.0,-71.0,-67.0,-73.0,-84.0,-100.0
2,-58.0,-57.0,-57.0,-58.0,-71.0,-71.0,-66.0,-74.0,-100.0,-83.0
2,-57.0,-57.0,-58.0,-58.0,-72.0,-71.0,-59.0,-73.0,-86.0,-84.0
2,-58.0,-57.0,-57.0,-58.0,-73.0,-73.0,-68.0,-74.0,-100.0,-84.0
2,-58.0,-58.0,-58.0,-58.0,-71.0,-71.0,-59.0,-73.0,-100.0,-100.0
2,-58.0,-58.0,-58.0,-58.0,-71.0,-71.0,-59.0,-74.0,-100.0,-100.0
2,-58.0,-57.0,-58.0,-59.0,-71.0,-71.0,-59.0,-73.0,-100.0,-100.0
2,-57.0,-57.0,-58.0,-58.0,-71.0,-71.0,-66.0,-75.0,-100.0,-100.0
2,-58.0,-59.0,-58.0,-58.0,-71.0,-71.0,-59.0,-75.0,-100.0,-84.0
2,-58.0,-57.0,-57.0,-58.0,-71.0,-71.0,-68.0,-75.0,-100.0,-100.0
2,-58.0,-58.0,-58.0,-57.0,-71.0,-71.0,-68.0,-74.0,-100.0,-100.0
2,-58.0,-58.0,-58.0,-58.0,-71.0,-71.0,-59.0,-74.0,-100.0,-100.0
2,-58.0,-59.0,-58.0,-57.0,-71.0,-71.0,-60.0,-75.0,-100.0,-100.0
2,-58.0,-58.0,-58.0,-59.0,-71.0,-71.0,-67.0,-74.0,-100.0,-84.0
2,-58.0,-58.0,-57.0,-57.0,-71.0,-71.0,-59.0,-74.0,-100.0,-85.0
2,-58.0,-58.0,-58.0,-58.0,-71.0,-71.0,-59.0,-74.0,-100.0,-85.0
2,-59.0,-61.0,-60.0,-60.0,-72.0,-72.0,-59.0,-74.0,-100.0,-83.0
2,-58.0,-58.0,-58.0,-58.0,-71.0,-71.0,-59.0,-74.0,-100.0,-100.0
2,-58.0,-58.0,-58.0,-57.0,-72.0,-72.0,-67.0,-74.0,-100.0,-100.0
2,-57.0,-58.0,-58.0,-58.0,-70.0,-71.0,-58.0,-73.0,-100.0,-84.0
2,-56.0,-57.0,-57.0,-56.0,-74.0,-74.0,-61.0,-74.0,-100.0,-83.0
2,-59.0,-59.0,-59.0,-59.0,-74.0,-74.0,-64.0,-74.0,-100.0,-83.0
2,-57.0,-57.0,-57.0,-58.0,-73.0,-73.0,-68.0,-75.0,-100.0,-100.0
2,-60.0,-59.0,-58.0,-57.0,-74.0,-74.0,-59.0,-74.0,-100.0,-100.0
2,-58.0,-58.0,-58.0,-58.0,-74.0,-74.0,-59.0,-74.0,-100.0,-83.0
2,-61.0,-58.0,-58.0,-57.0,-73.0,-73.0,-68.0,-100.0,-100.0,-100.0
2,-58.0,-58.0,-59.0,-57.0,-71.0,-71.0,-59.0,-73.0,-100.0,-84.0
2,-57.0,-58.0,-58.0,-59.0,-71.0,-71.0,-59.0,-78.0,-100.0,-100.0
2,-60.0,-60.0,-60.0,-59.0,-72.0,-71.0,-65.0,-74.0,-100.0,-100.0
2,-57.0,-59.0,-59.0,-59.0,-72.0,-71.0,-67.0,-74.0,-100.0,-100.0
2,-58.0,-58.0,-58.0,-58.0,-71.0,-71.0,-66.0,-73.0,-100.0,-83.0
2,-58.0,-58.0,-58.0,-58.0,-72.0,-71.0,-59.0,-74.0,-100.0,-84.0
2,-58.0,-58.0,-58.0,-57.0,-72.0,-71.0,-59.0,-74.0,-100.0,-85.0
2,-58.0,-59.0,-58.0,-58.0,-72.0,-71.0,-59.0,-75.0,-100.0,-84.0
2,-60.0,-58.0,-58.0,-57.0,-71.0,-71.0,-59.0,-74.0,-100.0,-100.0
2,-58.0,-58.0,-58.0,-58.0,-71.0,-71.0,-67.0,-74.0,-100.0,-100.0
2,-57.0,-58.0,-58.0,-58.0,-71.0,-71.0,-58.0,-75.0,-100.0,-84.0
2,-58.0,-59.0,-58.0,-57.0,-71.0,-71.0,-100.0,-75.0,-100.0,-100.0
2,-58.0,-58.0,-58.0,-58.0,-71.0,-72.0,-60.0,-73.0,-100.0,-84.0
2,-57.0,-58.0,-58.0,-59.0,-71.0,-70.0,-67.0,-71.0,-100.0,-100.0
2,-58.0,-58.0,-57.0,-58.0,-73.0,-73.0,-67.0,-74.0,-100.0,-84.0
2,-58.0,-58.0,-58.0,-59.0,-71.0,-70.0,-67.0,-75.0,-100.0,-100.0
2,-58.0,-58.0,-58.0,-59.0,-71.0,-71.0,-67.0,-74.0,-100.0,-84.0
2,-59.0,-58.0,-58.0,-58.0,-71.0,-71.0,-67.0,-74.0,-100.0,-100.0
2,-58.0,-58.0,-58.0,-58.0,-71.0,-71.0,-67.0,-74.0,-100.0,-100.0
2,-59.0,-58.0,-58.0,-58.0,-71.0,-71.0,-59.0,-74.0,-100.0,-100.0
2,-57.0,-58.0,-58.0,-58.0,-72.0,-71.0,-59.0,-74.0,-100.0,-84.0
2,-58.0,-58.0,-59.0,-59.0,-71.0,-71.0,-61.0,-74.0,-100.0,-100.0
2,-59.0,-58.0,-58.0,-59.0,-71.0,-71.0,-59.0,-75.0,-100.0,-84.0
2,-59.0,-58.0,-59.0,-59.0,-71.0,-71.0,-67.0,-74.0,-100.0,-100.0
2,-58.0,-58.0,-59.0,-58.0,-72.0,-71.0,-59.0,-75.0,-100.0,-100.0
2,-58.0,-59.0,-58.0,-58.0,-71.0,-71.0,-59.0,-75.0,-100.0,-83.0
2,-58.0,-58.0,-58.0,-57.0,-72.0,-71.0,-68.0,-74.0,-100.0,-84.0
2,-58.0,-59.0,-58.0,-58.0,-71.0,-71.0,-59.0,-74.0,-86.0,-84.0
2,-58.0,-59.0,-58.0,-58.0,-71.0,-71.0,-59.0,-73.0,-100.0,-84.0
2,-59.0,-59.0,-58.0,-57.0,-71.0,-71.0,-58.0,-74.0,-100.0,-84.0
2,-59.0,-58.0,-58.0,-59.0,-71.0,-71.0,-59.0,-74.0,-100.0,-84.0
2,-59.0,-57.0,-58.0,-58.0,-71.0,-71.0,-67.0,-75.0,-100.0,-84.0
2,-59.0,-59.0,-58.0,-60.0,-71.0,-71.0,-59.0,-74.0,-100.0,-84.0
2,-59.0,-59.0,-58.0,-58.0,-71.0,-72.0,-67.0,-100.0,-100.0,-84.0
2,-58.0,-58.0,-59.0,-59.0,-71.0,-72.0,-66.0,-74.0,-100.0,-85.0
2,-59.0,-58.0,-59.0,-58.0,-71.0,-71.0,-67.0,-74.0,-100.0,-100.0
2,-58.0,-58.0,-60.0,-58.0,-71.0,-71.0,-67.0,-74.0,-100.0,-100.0
2,-58.0,-61.0,-59.0,-59.0,-71.0,-71.0,-60.0,-75.0,-100.0,-85.0
2,-57.0,-57.0,-57.0,-58.0,-71.0,-71.0,-61.0,-74.0,-100.0,-83.0
2,-60.0,-60.0,-60.0,-60.0,-71.0,-71.0,-61.0,-76.0,-100.0,-82.0
2,-61.0,-60.0,-61.0,-60.0,-71.0,-71.0,-60.0,-75.0,-100.0,-81.0
2,-58.0,-57.0,-57.0,-58.0,-70.0,-71.0,-57.0,-74.0,-100.0,-100.0
2,-60.0,-61.0,-60.0,-61.0,-71.0,-71.0,-68.0,-74.0,-100.0,-83.0
2,-60.0,-58.0,-59.0,-60.0,-71.0,-72.0,-59.0,-73.0,-100.0,-84.0
2,-60.0,-60.0,-60.0,-60.0,-70.0,-70.0,-67.0,-77.0,-84.0,-100.0
2,-59.0,-59.0,-59.0,-58.0,-71.0,-71.0,-67.0,-75.0,-100.0,-100.0
2,-59.0,-59.0,-59.0,-58.0,-72.0,-72.0,-60.0,-75.0,-100.0,-100.0
2,-60.0,-59.0,-59.0,-59.0,-72.0,-71.0,-65.0,-76.0,-100.0,-84.0
2,-61.0,-60.0,-61.0,-61.0,-71.0,-72.0,-67.0,-74.0,-100.0,-100.0
2,-60.0,-58.0,-60.0,-60.0,-72.0,-72.0,-59.0,-73.0,-100.0,-83.0
2,-59.0,-59.0,-60.0,-59.0,-73.0,-73.0,-74.0,-73.0,-100.0,-100.0
2,-58.0,-59.0,-59.0,-59.0,-73.0,-73.0,-68.0,-75.0,-86.0,-83.0
2,-59.0,-60.0,-60.0,-60.0,-74.0,-74.0,-66.0,-75.0,-100.0,-100.0
2,-59.0,-58.0,-58.0,-58.0,-74.0,-73.0,-59.0,-75.0,-100.0,-83.0
2,-57.0,-58.0,-58.0,-58.0,-73.0,-73.0,-67.0,-75.0,-100.0,-100.0
2,-57.0,-58.0,-59.0,-59.0,-73.0,-73.0,-100.0,-73.0,-100.0,-83.0
2,-56.0,-57.0,-58.0,-55.0,-73.0,-73.0,-64.0,-73.0,-100.0,-100.0
2,-59.0,-59.0,-59.0,-60.0,-73.0,-73.0,-59.0,-100.0,-100.0,-84.0
2,-59.0,-57.0,-58.0,-59.0,-73.0,-73.0,-64.0,-73.0,-100.0,-100.0
2,-60.0,-59.0,-58.0,-59.0,-73.0,-73.0,-59.0,-73.0,-100.0,-85.0
